Time,Colour_p4_01,Colour_p4_02,Colour_p4_03
3.910,1.000,0.000,1.000,
3.920,0.000,5.000,1.000,
3.930,1.000,5.000,0.000,
3.940,1.000,0.000,0.000,
3.950,1.000,0.000,1.000,
3.960,0.000,1.000,0.000,
3.970,1.000,0.000,1.000,
3.980,5.000,0.000,1.000,
3.990,1.000,1.000,1.000,
4.000,1.000,0.000,0.000,
4.010,1.000,0.000,5.000,
4.020,0.000,1.000,0.000,
4.030,0.000,1.000,5.000,
4.040,5.000,5.000,0.000,
4.050,1.000,0.000,0.000,
4.060,0.000,5.000,5.000,
4.070,5.000,0.000,1.000,
4.080,1.000,1.000,1.000,
4.090,5.000,0.000,0.000,
4.100,1.000,1.000,1.000,
4.110,1.000,1.000,1.000,
4.120,0.000,5.000,1.000,
4.130,0.000,1.000,1.000,
4.140,5.000,5.000,0.000,
4.150,1.000,0.000,1.000,
4.160,5.000,1.000,5.000,
4.170,5.000,1.000,1.000,
4.180,1.000,5.000,5.000,
4.190,0.000,1.000,5.000,
4.200,1.000,5.000,5.000,
4.210,5.000,5.000,5.000,
4.220,1.000,5.000,5.000,
4.230,0.000,5.000,1.000,
4.240,1.000,5.000,1.000,
4.250,5.000,0.000,1.000,
4.260,1.000,0.000,1.000,
4.270,1.000,0.000,0.000,
4.280,1.000,0.000,5.000,
4.290,1.000,1.000,0.000,
4.300,1.000,0.000,1.000,
4.310,1.000,0.000,0.000,
4.320,5.000,0.000,0.000,
4.330,5.000,5.000,5.000,
4.340,1.000,5.000,0.000,
4.350,1.000,5.000,1.000,
4.360,1.000,1.000,1.000,
4.370,0.000,0.000,1.000,
4.380,0.000,0.000,5.000,
4.390,0.000,1.000,5.000,
4.400,1.000,1.000,1.000,
4.410,5.000,1.000,5.000,
4.420,0.000,0.000,1.000,
4.430,1.000,0.000,0.000,
4.440,1.000,0.000,5.000,
4.450,1.000,1.000,0.000,
4.460,1.000,0.000,0.000,
4.470,0.000,0.000,1.000,
4.480,1.000,5.000,1.000,
4.490,5.000,0.000,1.000,
4.500,0.000,1.000,1.000,
4.510,1.000,5.000,1.000,
4.520,5.000,0.000,0.000,
4.530,5.000,0.000,1.000,
4.540,1.000,1.000,0.000,
4.550,1.000,0.000,1.000,
4.560,5.000,1.000,0.000,
4.570,0.000,0.000,0.000,
4.580,1.000,0.000,1.000,
4.590,1.000,1.000,1.000,
4.600,0.000,5.000,5.000,
4.610,1.000,0.000,1.000,
4.620,0.000,1.000,1.000,
4.630,1.000,1.000,5.000,
4.640,0.000,5.000,5.000,
4.650,1.000,0.000,0.000,
4.660,5.000,1.000,0.000,
4.670,5.000,5.000,0.000,
4.680,1.000,0.000,1.000,
4.690,1.000,1.000,0.000,
4.700,1.000,0.000,1.000,
4.710,5.000,0.000,0.000,
4.720,5.000,1.000,0.000,
4.730,0.000,1.000,1.000,
4.740,1.000,0.000,1.000,
4.750,0.000,5.000,1.000,
4.760,1.000,0.000,0.000,
4.770,1.000,5.000,5.000,
4.780,0.000,0.000,5.000,
4.790,0.000,5.000,5.000,
4.800,5.000,0.000,0.000,
4.810,0.000,5.000,0.000,
4.820,5.000,1.000,5.000,
4.830,0.000,0.000,0.000,
4.840,0.000,5.000,5.000,
4.850,0.000,1.000,0.000,
4.860,5.000,5.000,1.000,
4.870,5.000,5.000,5.000,
4.880,5.000,1.000,5.000,
4.890,5.000,1.000,0.000,
4.900,0.000,5.000,0.000,
4.910,1.000,0.000,0.000,
4.920,1.000,0.000,0.000,
4.930,1.000,1.000,0.000,
4.940,1.000,1.000,0.000,
4.950,1.000,0.000,1.000,
4.960,5.000,1.000,5.000,
4.970,0.000,1.000,5.000,
4.980,1.000,0.000,1.000,
4.990,1.000,0.000,5.000,
5.000,0.000,1.000,1.000,
5.010,1.000,5.000,0.000,
5.020,0.000,1.000,1.000,
5.030,5.000,5.000,0.000,
5.040,0.000,5.000,0.000,
5.050,0.000,0.000,1.000,
5.060,5.000,1.000,0.000,
5.070,0.000,1.000,0.000,
5.080,5.000,1.000,1.000,
5.090,5.000,5.000,0.000,
5.100,0.000,1.000,1.000,
5.110,0.000,1.000,0.000,
5.120,0.000,1.000,1.000,
5.130,0.000,0.000,1.000,
5.140,0.000,1.000,1.000,
5.150,0.000,0.000,1.000,
5.160,1.000,1.000,1.000,
5.170,1.000,1.000,0.000,
5.180,0.000,1.000,1.000,
5.190,0.000,5.000,5.000,
5.200,0.000,5.000,0.000,
5.210,5.000,0.000,0.000,
5.220,1.000,5.000,5.000,
5.230,0.000,0.000,5.000,
5.240,-,1.000,1.000,
5.250,-,1.000,1.000,
5.260,-,0.000,1.000,
5.270,-,0.000,5.000,
5.280,-,1.000,0.000,
5.290,-,0.000,5.000,
5.300,-,0.000,1.000,
5.310,-,1.000,5.000,
5.320,-,-,0.000,
5.330,-,-,0.000,
5.340,-,-,1.000,
5.350,-,-,1.000,
5.360,-,-,1.000,
5.370,-,-,1.000,
5.380,-,-,0.000,
5.390,-,-,1.000,
5.400,-,-,0.000,
5.410,-,-,5.000,
5.420,-,-,0.000,
5.430,-,-,0.000,
5.440,-,-,0.000,
5.450,-,-,1.000,
5.460,-,-,0.000,
5.470,-,-,5.000,
5.480,-,-,0.000,
5.490,-,-,0.000,
5.500,-,-,0.000,
5.510,-,-,0.000,
5.520,-,-,0.000,
5.530,-,-,0.000,
5.540,-,-,1.000,
5.550,-,-,5.000,
5.560,-,-,0.000,
5.570,-,-,5.000,
5.580,-,-,5.000,
5.590,-,-,1.000,
5.600,-,-,0.000,
5.610,-,-,1.000,
5.620,-,-,0.000,
5.630,-,-,0.000,
5.640,-,-,5.000,
5.650,-,-,0.000,
5.660,-,-,1.000,
5.670,-,-,1.000,
5.680,-,-,0.000,
5.690,-,-,0.000,
5.700,-,-,0.000,
5.710,-,-,0.000,
5.720,-,-,0.000,
5.730,-,-,1.000,
5.740,-,-,1.000,
5.750,-,-,0.000,
5.760,-,-,5.000,
5.770,-,-,0.000,
5.780,-,-,5.000,
5.790,-,-,0.000,
5.800,-,-,0.000,
5.810,-,-,1.000,
5.820,-,-,1.000,
5.830,-,-,5.000,
5.840,-,-,1.000,
5.850,-,-,1.000,
5.860,-,-,1.000,
5.870,-,-,0.000,
5.880,-,-,5.000,
5.890,-,-,5.000,
5.900,-,-,1.000,
5.910,-,-,0.000,
5.920,-,-,5.000,
5.930,-,-,1.000,
5.940,-,-,1.000,
5.950,-,-,0.000,
5.960,-,-,0.000,
5.970,-,-,0.000,
5.980,-,-,5.000,
5.990,-,-,0.000,
6.000,-,-,0.000,
6.010,-,-,0.000,
6.020,-,-,5.000,
6.030,-,-,1.000,
6.040,-,-,5.000,
6.050,-,-,1.000,
6.060,-,-,0.000,
6.070,-,-,5.000,
6.080,-,-,5.000,
6.090,-,-,1.000,
6.100,-,-,5.000,
6.110,-,-,1.000,
6.120,-,-,0.000,
6.130,-,-,1.000,
6.140,-,-,0.000,
6.150,-,-,1.000,
6.160,-,-,0.000,
6.170,-,-,1.000,
6.180,-,-,1.000,
6.190,-,-,0.000,
6.200,-,-,1.000,
6.210,-,-,0.000,
6.220,-,-,0.000,
6.230,-,-,0.000,
6.240,-,-,1.000,
6.250,-,-,0.000,
6.260,-,-,0.000,
6.270,-,-,5.000,
6.280,-,-,5.000,
6.290,-,-,0.000,
6.300,-,-,0.000,
6.310,-,-,0.000,
6.320,-,-,1.000,
6.330,-,-,1.000,
6.340,-,-,0.000,
6.350,-,-,5.000,
