Time,Colour_p4_01,Colour_p4_02,Colour_p4_03,Colour_p4_04
3.050,6.000,6.000,6.000,6.000,
3.060,6.000,6.000,6.000,6.000,
3.070,6.000,6.000,6.000,6.000,
3.080,6.000,6.000,6.000,6.000,
3.090,6.000,6.000,6.000,6.000,
3.100,6.000,6.000,6.000,6.000,
3.110,6.000,6.000,6.000,6.000,
3.120,6.000,6.000,6.000,6.000,
3.130,6.000,6.000,6.000,6.000,
3.140,6.000,6.000,6.000,6.000,
3.150,6.000,6.000,6.000,6.000,
3.160,6.000,6.000,6.000,6.000,
3.170,6.000,6.000,6.000,6.000,
3.180,6.000,6.000,6.000,6.000,
3.190,6.000,6.000,6.000,6.000,
3.200,6.000,6.000,6.000,6.000,
3.210,6.000,6.000,6.000,6.000,
3.220,6.000,6.000,6.000,6.000,
3.230,6.000,6.000,6.000,6.000,
3.240,6.000,6.000,6.000,6.000,
3.250,6.000,6.000,6.000,6.000,
3.260,6.000,6.000,6.000,6.000,
3.270,6.000,6.000,6.000,6.000,
3.280,6.000,6.000,6.000,6.000,
3.290,6.000,6.000,6.000,6.000,
3.300,6.000,6.000,6.000,6.000,
3.310,6.000,6.000,6.000,6.000,
3.320,6.000,6.000,6.000,6.000,
3.330,6.000,6.000,6.000,6.000,
3.340,6.000,6.000,6.000,6.000,
3.350,6.000,6.000,6.000,6.000,
3.360,6.000,6.000,6.000,6.000,
3.370,6.000,6.000,6.000,6.000,
3.380,6.000,6.000,6.000,6.000,
3.390,6.000,6.000,6.000,6.000,
3.400,6.000,6.000,6.000,6.000,
3.410,6.000,6.000,6.000,6.000,
3.420,6.000,6.000,6.000,6.000,
3.430,6.000,6.000,6.000,6.000,
3.440,6.000,6.000,6.000,6.000,
3.450,6.000,6.000,6.000,6.000,
3.460,6.000,6.000,6.000,6.000,
3.470,6.000,6.000,6.000,6.000,
3.480,6.000,6.000,6.000,6.000,
3.490,6.000,6.000,6.000,6.000,
3.500,6.000,6.000,6.000,6.000,
3.510,6.000,6.000,6.000,6.000,
3.520,6.000,6.000,6.000,6.000,
3.530,6.000,6.000,6.000,6.000,
3.540,6.000,6.000,6.000,6.000,
3.550,6.000,6.000,6.000,6.000,
